url,expected,verdict,malicious_count,correct,time_sec
https://facebook-eu.blogspot.com/,malicious,malicious,20,YES,32.0
https://https-wvvw-roblox.com/users/338667923/profile,malicious,malicious,23,YES,21.8
http://www.netflix-ui-two.vercel.app/,malicious,malicious,20,YES,11.2
http://facebook-verify.blogspot.com/?m=1,malicious,malicious,21,YES,32.2
https://www.shopeeid-99.blogspot.com/,malicious,malicious,19,YES,42.7
https://spotifindnewmusicplaylistdiscoverynow.netlify.app/,malicious,malicious,18,YES,21.7
http://apple-ukw.bvyqr.xyz/en/,malicious,malicious,19,YES,21.8
https://ssl.uk.ecards.pictures/107519/8af662/475d964a-0243-46bf-aefd-66da26254efa/,malicious,malicious,14,YES,32.4
https://fortnite67.lol/,malicious,malicious,21,YES,21.5
http://www.linktr.ee/oofrblx/,malicious,malicious,5,YES,21.9
https://www.dell.com/,safe,safe,0,YES,11.3
https://www.slb.com/,safe,TIMEOUT,N/A,N/A,85.2
https://www.siemens-energy.com/,safe,safe,0,YES,32.0
https://www.microsoft.com/,safe,TIMEOUT,N/A,N/A,85.0
https://www.github.com/,safe,safe,0,YES,52.6
https://www.google.com/,safe,safe,0,YES,11.8
https://www.wazuh.com/,safe,safe,0,YES,32.0
https://www.paloaltonetworks.com/,safe,safe,0,YES,85.1
https://www.n8n.io/,safe,safe,0,YES,32.1
https://www.cisco.com/,safe,TIMEOUT,N/A,N/A,84.2
